,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,avg_cost_price
105,Maruti,Baleno,5.0,52000.0,Dealer,Petrol,Manual,21.01,1197.0,81.8,5.0,5.75,8.693429752066116
106,Toyota,Innova,5.0,120000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8.0,9.5,24.848359375
107,Maruti,Alto,8.0,55000.0,Individual,Petrol,Manual,22.74,796.0,47.3,5.0,2.3,4.065
108,Hyundai,i20,10.0,160000.0,Individual,Diesel,Manual,21.9,1396.0,90.0,5.0,2.7,9.94
110,Ford,Figo,10.0,40000.0,Individual,Petrol,Manual,15.6,1196.0,70.0,5.0,1.3,7.02
111,Maruti,Swift Dzire,9.0,46000.0,Dealer,Petrol,Manual,19.1,1197.0,85.8,5.0,3.7,8.24
112,Maruti,Baleno,4.0,25000.0,Dealer,Petrol,Manual,21.4,1197.0,83.1,5.0,5.7,8.55
114,Volkswagen,Polo,8.0,90000.0,Dealer,Diesel,Manual,22.07,1199.0,73.9,5.0,3.65,9.286482558139534
115,Hyundai,i20,9.0,49566.0,Dealer,Petrol,Manual,18.5,1197.0,82.85,5.0,2.8,10.810042134831459
116,Hyundai,Verna,3.0,14000.0,Dealer,Diesel,Automatic,22.0,1582.0,126.2,5.0,12.5,15.69
117,Hyundai,i20,5.0,11000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,5.9,10.72
118,Maruti,Celerio,3.0,5000.0,Individual,Petrol,Automatic,23.1,998.0,67.04,5.0,4.75,5.975
119,Ford,Ecosport,4.0,55000.0,Dealer,Diesel,Manual,23.0,1498.0,98.96,5.0,6.85,11.965
120,Hyundai,Verna,9.0,65000.0,Dealer,Diesel,Automatic,19.08,1582.0,126.32,5.0,3.8,14.578887559808614
121,Renault,KWID,3.0,22000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,3.3,5.225
122,Maruti,Baleno,3.0,7671.0,Trustmark Dealer,Petrol,Manual,21.01,1197.0,81.8,5.0,6.5,8.55
123,Maruti,Wagon R,5.0,66000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,3.25,5.95
124,Maruti,Swift Dzire,3.0,45156.0,Dealer,Petrol,Automatic,21.21,1197.0,81.8,5.0,6.4,8.3
125,Hyundai,Venue,2.0,25000.0,Individual,Petrol,Manual,18.27,998.0,118.35,5.0,9.49,9.655
127,Hyundai,Verna,6.0,120000.0,Individual,Diesel,Manual,23.9,1582.0,126.2,5.0,6.6,15.465
128,Maruti,Swift,7.0,28000.0,Dealer,Petrol,Manual,16.1,1197.0,85.0,5.0,4.35,7.81
129,Hyundai,i20,8.0,55000.0,Dealer,Diesel,Manual,21.9,1396.0,88.76,5.0,3.85,11.415
131,Hyundai,Verna,2.0,14000.0,Dealer,Diesel,Automatic,22.0,1582.0,126.2,5.0,12.5,15.69
133,Maruti,Wagon R,12.0,98780.0,Dealer,Petrol,Manual,18.9,998.0,67.1,5.0,1.55,6.185
134,Maruti,Swift,6.0,58000.0,Dealer,Diesel,Manual,25.2,1248.0,74.0,5.0,4.15,7.746715686274511
135,Maruti,Alto,10.0,30000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,2.51,4.112027027027027
136,Mahindra,Scorpio,5.0,46400.0,Dealer,Diesel,Manual,15.4,2179.0,120.0,7.0,11.5,17.51
137,Hyundai,i10,7.0,32111.0,Trustmark Dealer,Petrol,Manual,19.81,1086.0,68.05,5.0,3.1,7.138266666666667
138,Datsun,GO,6.0,35000.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7.0,3.5,6.34
139,Mahindra,Scorpio,4.0,30000.0,Dealer,Diesel,Manual,15.4,1997.0,120.0,7.0,11.25,17.51
142,Datsun,GO,3.0,10000.0,Individual,Petrol,Manual,20.62,1198.0,67.0,7.0,4.8,6.53
143,Maruti,Swift Dzire,4.0,25000.0,Individual,Diesel,Automatic,28.4,1248.0,74.02,5.0,8.5,8.329472891566265
144,Hyundai,Creta,4.0,102000.0,Dealer,Diesel,Automatic,17.01,1582.0,126.2,5.0,11.0,15.725
145,Maruti,Swift,3.0,35000.0,Dealer,Petrol,Manual,22.0,1197.0,81.8,5.0,5.75,7.746715686274511
147,Maruti,Swift Dzire,9.0,49948.0,Dealer,Petrol,Manual,17.5,1298.0,85.8,5.0,3.4,8.3
149,Ford,Ecosport,3.0,55000.0,Individual,Diesel,Manual,23.0,1498.0,98.96,5.0,9.25,11.93
150,Hyundai,Grand,6.0,36000.0,Dealer,Petrol,Manual,18.9,1197.0,82.0,5.0,4.0,6.525
152,Honda,City,5.0,49625.0,Dealer,Petrol,Manual,17.8,1497.0,117.3,5.0,7.25,14.74
153,Maruti,Swift Dzire,7.0,35000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5.0,6.0,8.329472891566265
154,Mahindra,Scorpio,8.0,95000.0,Individual,Diesel,Manual,12.05,2179.0,120.0,8.0,5.5,16.995
155,Ford,Aspire,4.0,36000.0,Dealer,Diesel,Manual,25.83,1498.0,99.0,5.0,5.85,9.9
156,Maruti,Wagon R,2.0,50000.0,Individual,Petrol,Manual,21.79,998.0,67.05,5.0,4.11,6.24
157,Maruti,Swift Dzire,6.0,26500.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5.0,4.5,8.465
159,Volkswagen,Polo,6.0,46000.0,Dealer,Petrol,Manual,16.47,1198.0,74.0,5.0,4.55,9.286482558139534
160,Hyundai,Grand,2.0,9000.0,Individual,Petrol,Manual,20.7,1197.0,81.86,5.0,7.1,7.435
163,Honda,City,5.0,53000.0,Dealer,Petrol,Manual,16.8,1497.0,116.3,5.0,7.7,14.74
167,Honda,Amaze,3.0,50000.0,Individual,Diesel,Manual,25.8,1498.0,98.6,5.0,7.2,10.325
168,Mahindra,KUV,5.0,52000.0,Dealer,Diesel,Manual,25.32,1198.0,77.0,5.0,3.75,7.8038333333333325
170,Datsun,GO,6.0,35000.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7.0,4.0,6.34
171,Renault,Duster,6.0,48000.0,Individual,Diesel,Manual,19.87,1461.0,83.8,5.0,6.0,14.16888888888889
172,Honda,Jazz,3.0,18000.0,Individual,Petrol,Manual,18.7,1199.0,88.7,5.0,6.0,9.775
173,Maruti,Wagon R,9.0,57413.0,Individual,LPG,Manual,14.4,998.0,61.7,5.0,2.7,6.185168439716312
174,Hyundai,i20,6.0,30000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.0,10.145
175,Hyundai,Verna,6.0,55000.0,Dealer,Diesel,Manual,23.9,1582.0,126.2,5.0,6.5,15.69
178,Maruti,Swift,3.0,10000.0,Individual,Petrol,Automatic,21.21,1197.0,81.8,5.0,6.6,7.715
182,Kia,Seltos,1.0,8000.0,Dealer,Petrol,Manual,16.8,1497.0,113.4,5.0,12.75,15.89
184,Maruti,Swift,6.0,65000.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,4.95,7.746715686274511
188,Hyundai,Grand,5.0,25000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5.0,4.75,7.295
191,Maruti,Ciaz,6.0,70000.0,Individual,Petrol,Manual,20.73,1373.0,91.1,5.0,5.3,11.07
192,Tata,Tiago,5.0,9500.0,Individual,Petrol,Manual,23.84,1199.0,84.0,5.0,5.3,6.675
193,Hyundai,Verna,6.0,9100.0,Individual,Petrol,Manual,17.01,1591.0,121.3,5.0,6.5,13.025
195,Honda,City,11.0,86000.0,Dealer,Petrol,Manual,17.0,1497.0,118.0,5.0,3.35,14.205
198,Ford,Figo,10.0,60000.0,Individual,Diesel,Manual,20.0,1399.0,68.0,5.0,3.0,8.737458333333333
199,Maruti,Wagon R,2.0,7883.0,Trustmark Dealer,Petrol,Automatic,21.5,1197.0,81.8,5.0,5.5,5.95
200,Maruti,Swift Dzire,8.0,50205.0,Trustmark Dealer,Diesel,Manual,23.4,1248.0,74.0,5.0,3.9,8.329472891566265
201,Mahindra,Bolero,13.0,220000.0,Individual,Diesel,Manual,13.6,2523.0,63.0,7.0,2.6,9.7
202,Tata,Tigor,4.0,58000.0,Dealer,Diesel,Manual,24.7,1047.0,69.0,5.0,3.95,7.713636363636364
203,Mahindra,Scorpio,9.0,170000.0,Individual,Diesel,Manual,12.05,2179.0,120.0,8.0,5.5,17.165
204,Maruti,Swift Dzire,3.0,15000.0,Individual,Petrol,Manual,22.0,1197.0,81.8,5.0,6.5,8.285
205,Maruti,Swift,5.0,71245.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,3.75,7.746715686274511
209,Kia,Seltos,2.0,7000.0,Individual,Petrol,Manual,16.1,1353.0,138.0,5.0,13.0,15.195
210,Maruti,Alto,3.0,20000.0,Individual,Petrol,Manual,23.95,998.0,67.05,5.0,3.6,4.112027027027027
211,Maruti,Celerio,1.0,8700.0,Individual,Petrol,Manual,21.63,998.0,67.04,5.0,5.05,5.975
212,Maruti,Alto,2.0,25000.0,Individual,Petrol,Manual,24.7,796.0,47.3,5.0,3.1,4.065
213,Hyundai,i20,6.0,42000.0,Dealer,Petrol,Manual,18.6,1197.0,81.86,5.0,5.45,10.72
216,Mahindra,Bolero,15.0,120000.0,Individual,Diesel,Manual,13.6,2523.0,63.0,7.0,1.5,9.87
217,Maruti,Baleno,3.0,50000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,5.8,8.375
218,Maruti,Wagon R,10.0,58000.0,Individual,Petrol,Manual,18.9,998.0,67.1,5.0,2.5,6.24
219,Hyundai,Verna,4.0,36000.0,Individual,Petrol,Manual,17.43,1396.0,105.5,5.0,6.5,13.53
222,Maruti,Ertiga,3.0,30000.0,Individual,Diesel,Manual,25.47,1248.0,88.5,7.0,4.1,10.45789156626506
223,Ford,Ecosport,6.0,162828.0,Dealer,Diesel,Manual,22.77,1498.0,98.59,5.0,5.31,11.965
224,Ford,Ecosport,3.0,7500.0,Individual,Diesel,Manual,23.0,1498.0,98.96,5.0,8.9,11.718629283489095
225,Tata,Safari,5.0,47227.0,Dealer,Diesel,Manual,14.0,2179.0,138.1,7.0,7.75,18.13
226,Maruti,Wagon R,3.0,52000.0,Dealer,CNG,Manual,33.54,998.0,67.04,5.0,4.35,6.19
227,Ford,Figo,9.0,74000.0,Dealer,Diesel,Manual,20.0,1399.0,68.05,5.0,1.85,9.21
228,Mahindra,Bolero,10.0,47000.0,Dealer,Diesel,Manual,15.96,2523.0,62.1,7.0,4.4,9.87
229,Hyundai,i20,6.0,50000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,4.5,10.145
230,Maruti,Baleno,4.0,100000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,6.0,8.78
231,Maruti,Celerio,7.0,35000.0,Individual,Petrol,Manual,23.1,998.0,67.04,5.0,3.2,5.8
232,Hyundai,i20,5.0,50000.0,Individual,Diesel,Manual,21.19,1396.0,88.73,5.0,7.0,10.810042134831459
233,Ford,Aspire,3.0,10000.0,Individual,Petrol,Manual,18.16,1196.0,86.8,5.0,6.3,7.65
234,Maruti,Alto,5.0,10370.0,Individual,Petrol,Manual,22.74,796.0,47.3,5.0,3.2,4.06
235,Honda,City,8.0,62000.0,Dealer,Petrol,Manual,16.8,1497.0,116.3,5.0,4.65,14.74
238,Hyundai,i20,5.0,40000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.5,10.810042134831459
239,Maruti,Swift,4.0,60000.0,Individual,Petrol,Manual,22.0,1197.0,81.8,5.0,4.45,7.715
240,Tata,Safari,8.0,67231.0,Dealer,Diesel,Manual,14.0,2179.0,138.1,7.0,7.05,18.13
241,Maruti,Wagon R,8.0,64000.0,Dealer,CNG,Manual,33.54,998.0,67.04,5.0,2.7,6.005
243,Honda,City,7.0,63000.0,Dealer,Diesel,Manual,26.0,1498.0,98.6,5.0,4.75,15.1924613003096
245,Honda,City,10.0,55000.0,Dealer,Petrol,Manual,16.9,1497.0,100.0,5.0,3.5,14.74
246,Hyundai,i20,5.0,11000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,5.75,10.72
248,Renault,KWID,4.0,17000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,3.6,5.05
249,Maruti,Alto,4.0,25000.0,Individual,Petrol,Manual,24.7,796.0,47.3,5.0,2.75,4.06
250,Datsun,GO,5.0,33350.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7.0,3.2,6.225
252,Hyundai,Grand,6.0,62000.0,Dealer,Petrol,Manual,18.9,1197.0,82.0,5.0,3.7,6.525
254,Maruti,Swift Dzire,12.0,59000.0,Individual,Petrol,Manual,17.5,1298.0,85.8,5.0,2.75,8.285
256,Honda,City,7.0,86113.0,Dealer,Petrol,Manual,17.4,1497.0,117.3,5.0,5.5,14.74
258,Maruti,Swift Dzire,3.0,10000.0,Individual,Diesel,Manual,28.4,1248.0,74.02,5.0,7.5,8.329472891566265
260,Maruti,Wagon R,6.0,92537.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,2.72,6.24
261,Maruti,Ciaz,2.0,27645.0,Dealer,Diesel,Manual,28.09,1248.0,88.5,5.0,9.51,11.595719424460432
262,Maruti,Alto,8.0,46242.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,2.8,4.112027027027027
263,Honda,City,8.0,70000.0,Individual,Petrol,Manual,16.8,1497.0,116.3,5.0,5.45,15.29
264,Renault,KWID,1.0,6000.0,Individual,Petrol,Manual,22.3,799.0,53.26,5.0,4.5,5.067586206896552
265,Hyundai,i20,4.0,64000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,4.8,10.24
266,Mahindra,Scorpio,4.0,93000.0,Dealer,Diesel,Manual,15.4,1997.0,120.0,7.0,10.6,17.41
267,Maruti,Alto,8.0,26200.0,Dealer,Petrol,Manual,22.74,796.0,47.3,5.0,2.35,4.065
268,Maruti,Baleno,4.0,25000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,5.9,8.55
273,Hyundai,Santro,13.0,80000.0,Individual,Petrol,Manual,17.92,1086.0,62.1,5.0,1.1,6.376
274,Mahindra,Scorpio,14.0,110000.0,Individual,Diesel,Manual,13.5,2179.0,115.0,5.0,2.8,17.795
276,Honda,City,3.0,25000.0,Individual,Petrol,Manual,17.4,1497.0,117.3,5.0,7.5,14.905
277,Hyundai,Grand,6.0,36000.0,Dealer,Petrol,Manual,18.9,1197.0,81.86,5.0,4.0,6.525
278,Maruti,Swift Dzire,6.0,40000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,5.3,8.329472891566265
279,Mahindra,Thar,3.0,25000.0,Individual,Diesel,Manual,16.55,2498.0,105.0,6.0,8.7,15.16
280,Renault,KWID,3.0,30038.0,Dealer,Petrol,Manual,25.17,799.0,53.3,5.0,2.95,4.605
281,Tata,Tiago,4.0,53000.0,Individual,Diesel,Manual,27.28,1047.0,69.0,5.0,3.7,6.773722222222222
282,Maruti,Swift,3.0,5000.0,Individual,Petrol,Manual,21.21,1197.0,81.8,5.0,5.3,7.825
284,Renault,KWID,4.0,35000.0,Individual,Petrol,Automatic,24.04,999.0,67.0,5.0,3.5,4.855
285,Ford,Ecosport,8.0,62000.0,Dealer,Diesel,Manual,22.7,1498.0,89.84,5.0,4.7,11.765
286,Ford,Aspire,6.0,42000.0,Individual,Diesel,Manual,25.83,1498.0,99.0,5.0,3.9,9.815
288,Mahindra,Scorpio,6.0,80000.0,Individual,Diesel,Manual,15.4,2179.0,120.0,7.0,9.2,17.51
289,Mahindra,XUV500,8.0,60000.0,Individual,Diesel,Manual,15.1,2179.0,140.0,7.0,5.5,19.91
290,Hyundai,Verna,7.0,45000.0,Individual,Diesel,Manual,22.32,1582.0,126.32,5.0,6.35,15.69
291,Mahindra,XUV500,4.0,50000.0,Dealer,Diesel,Automatic,16.0,2179.0,140.0,7.0,12.5,19.91
292,Maruti,Alto,3.0,12000.0,Individual,Petrol,Manual,24.7,796.0,47.3,5.0,3.0,4.06
293,Honda,City,3.0,12000.0,Individual,Petrol,Automatic,18.0,1497.0,117.6,5.0,9.6,14.905
294,Maruti,Vitara,3.0,15000.0,Individual,Diesel,Manual,24.3,1248.0,88.5,5.0,7.5,10.815
295,Volkswagen,Polo,10.0,63000.0,Dealer,Petrol,Manual,16.47,1198.0,73.9,5.0,2.49,9.065
297,Ford,Figo,10.0,160800.0,Individual,Diesel,Manual,20.0,1399.0,68.0,5.0,2.5,9.185
298,Hyundai,Verna,7.0,120000.0,Individual,Diesel,Manual,22.32,1582.0,126.32,5.0,6.1,15.465
300,Ford,Ecosport,5.0,78247.0,Dealer,Diesel,Manual,21.7,1498.0,98.96,5.0,5.45,11.965
301,Hyundai,Verna,8.0,113000.0,Individual,Diesel,Manual,22.32,1582.0,126.3,5.0,4.8,13.6
302,Hyundai,i20,7.0,52000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,3.95,10.72
303,Toyota,Innova,9.0,109000.0,Dealer,Diesel,Manual,12.99,2494.0,100.6,7.0,4.95,24.848359375
305,Hyundai,Grand,4.0,90000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5.0,4.7,6.985
309,Volkswagen,Polo,10.0,98000.0,Dealer,Diesel,Manual,22.07,1199.0,73.9,5.0,2.0,9.286482558139534
310,Hyundai,i20,5.0,20000.0,Individual,Diesel,Manual,21.19,1396.0,88.73,5.0,6.99,10.810042134831459
312,Maruti,Wagon R,7.0,21717.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,3.4,6.24
313,Renault,Duster,7.0,40000.0,Individual,Diesel,Manual,20.45,1461.0,83.8,5.0,5.0,14.16888888888889
314,Honda,City,4.0,50000.0,Individual,Petrol,Manual,17.14,1497.0,117.6,5.0,10.5,15.29
315,Renault,Duster,5.0,90000.0,Individual,Diesel,Manual,19.6,1461.0,108.45,5.0,6.0,14.16888888888889
317,Maruti,Swift,4.0,27876.0,Dealer,Petrol,Manual,20.4,1197.0,81.8,5.0,4.91,7.81
320,Hyundai,i10,13.0,57215.0,Individual,Petrol,Manual,20.36,1197.0,78.9,5.0,1.6,7.138266666666667
321,Hyundai,Venue,2.0,5400.0,Dealer,Petrol,Manual,18.27,998.0,118.35,5.0,9.85,10.905
322,Maruti,Swift Dzire,7.0,60000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5.0,5.0,8.329472891566265
